age,bisexual,gay,straight
18,,20000.0,20000.0
19,,,190833.33333333334
20,,20000.0,86250.0
21,20000.0,,37222.22222222222
22,20000.0,,74615.38461538461
23,20000.0,30000.0,59782.608695652176
24,,42000.0,123965.5172413793
25,,50000.0,116081.08108108108
26,80000.0,196666.66666666666,92133.33333333333
27,50000.0,45000.0,106315.78947368421
28,50000.0,40000.0,98020.83333333333
29,,38333.333333333336,81894.73684210527
30,60000.0,58333.333333333336,83846.15384615384
31,,100000.0,128378.37837837837
32,,302500.0,147560.9756097561
33,,66000.0,111864.40677966102
34,,73333.33333333333,103076.92307692308
35,30000.0,62000.0,101777.77777777778
36,,50000.0,144871.79487179487
37,,60000.0,90769.23076923077
38,,115000.0,91282.05128205128
39,,60000.0,95333.33333333333
40,,78333.33333333333,133870.96774193548
41,,60000.0,89333.33333333333
42,,75000.0,146296.2962962963
43,,60000.0,80000.0
44,,70000.0,79375.0
45,,50000.0,82222.22222222222
46,,,87500.0
47,20000.0,,72307.69230769231
48,,,80000.0
49,50000.0,50000.0,76363.63636363637
50,,50000.0,71428.57142857143
51,,40000.0,67500.0
52,30000.0,20000.0,86000.0
53,,,60000.0
54,,,96666.66666666667
55,,,71111.11111111111
56,,60000.0,240000.0
57,1000000.0,40000.0,70000.0
58,,,80000.0
59,,,45000.0
60,,,150000.0
61,,,65000.0
62,,80000.0,40000.0
63,,,56000.0
64,,,55000.0
65,,,65000.0
66,,,50000.0
67,,50000.0,65000.0
