age,bisexual,gay,straight
18,1000000.0,40000.0,780000.0
19,40000.0,330000.0,6670000.0
20,1210000.0,2320000.0,16590000.0
21,280000.0,1340000.0,18370000.0
22,240000.0,420000.0,29060000.0
23,2430000.0,2910000.0,37360000.0
24,2320000.0,1980000.0,37720000.0
25,2600000.0,3090000.0,53520000.0
26,400000.0,3260000.0,50530000.0
27,400000.0,1100000.0,57180000.0
28,1490000.0,3450000.0,47000000.0
29,1340000.0,1450000.0,43940000.0
30,2570000.0,2340000.0,41260000.0
31,1560000.0,4620000.0,42400000.0
32,2240000.0,1990000.0,41230000.0
33,3230000.0,790000.0,35070000.0
34,120000.0,700000.0,29970000.0
35,380000.0,850000.0,24850000.0
36,30000.0,900000.0,20270000.0
37,340000.0,1730000.0,24290000.0
38,250000.0,440000.0,18950000.0
39,290000.0,430000.0,20660000.0
40,90000.0,1140000.0,17400000.0
41,80000.0,1170000.0,16670000.0
42,120000.0,1980000.0,16720000.0
43,170000.0,720000.0,11050000.0
44,170000.0,1720000.0,9810000.0
45,1350000.0,370000.0,8500000.0
46,30000.0,350000.0,10050000.0
47,110000.0,630000.0,8970000.0
48,100000.0,740000.0,5710000.0
49,150000.0,280000.0,6720000.0
50,20000.0,1560000.0,3900000.0
51,,270000.0,4340000.0
52,30000.0,100000.0,4450000.0
53,1050000.0,200000.0,1940000.0
54,,380000.0,3080000.0
55,,250000.0,4000000.0
56,120000.0,280000.0,2780000.0
57,40000.0,80000.0,3350000.0
58,,150000.0,1930000.0
59,,180000.0,2990000.0
60,,,1630000.0
61,,150000.0,2450000.0
62,,230000.0,1210000.0
63,,30000.0,1060000.0
64,,,770000.0
65,,100000.0,670000.0
66,,,1260000.0
67,,50000.0,410000.0
68,,,1600000.0
69,80000.0,,120000.0
